id_empleado,nombre,mes,anio,mes_num,puesto,area,genero,fecha_ingreso,salario_nominal,bono_dic,total_devengado
E001,"Fernández, Carlos",2018-01-01,2018,1,Gerente General,Administración,M,2018-01-01,85871.6,0.0,85871.6
E002,"López, María",2018-01-01,2018,1,Jefe de Ventas,Ventas,F,2018-01-01,54754.51,0.0,54754.51
E003,"García, Juan",2018-01-01,2018,1,Vendedor Senior,Ventas,M,2018-01-01,37472.41,0.0,37472.41
E004,"Martínez, Ana",2018-01-01,2018,1,Vendedora,Ventas,F,2018-01-01,31875.61,0.0,31875.61
E005,"Rodríguez, Luis",2018-01-01,2018,1,Técnico Senior,Taller,M,2018-01-01,42105.17,0.0,42105.17
E006,"Sánchez, Pablo",2018-01-01,2018,1,Técnico,Taller,M,2018-01-01,33911.22,0.0,33911.22
E007,"Torres, Sofía",2018-01-01,2018,1,Administrativa,Administración,F,2018-01-01,32928.35,0.0,32928.35
E008,"Ramírez, Diego",2018-01-01,2018,1,Encargado Depósito,Logística,M,2018-01-01,35341.67,0.0,35341.67
E009,"Flores, Valeria",2018-01-01,2018,1,Vendedora,Ventas,F,2018-01-01,30273.02,0.0,30273.02
E010,"Medina, Roberto",2018-01-01,2018,1,Técnico,Taller,M,2018-03-01,31887.48,0.0,31887.48
E001,"Fernández, Carlos",2018-02-01,2018,2,Gerente General,Administración,M,2018-01-01,83894.42,0.0,83894.42
E002,"López, María",2018-02-01,2018,2,Jefe de Ventas,Ventas,F,2018-01-01,54941.23,0.0,54941.23
E003,"García, Juan",2018-02-01,2018,2,Vendedor Senior,Ventas,M,2018-01-01,37811.5,0.0,37811.5
E004,"Martínez, Ana",2018-02-01,2018,2,Vendedora,Ventas,F,2018-01-01,32039.19,0.0,32039.19
E005,"Rodríguez, Luis",2018-02-01,2018,2,Técnico Senior,Taller,M,2018-01-01,43073.37,0.0,43073.37
E006,"Sánchez, Pablo",2018-02-01,2018,2,Técnico,Taller,M,2018-01-01,33745.71,0.0,33745.71
E007,"Torres, Sofía",2018-02-01,2018,2,Administrativa,Administración,F,2018-01-01,33246.01,0.0,33246.01
E008,"Ramírez, Diego",2018-02-01,2018,2,Encargado Depósito,Logística,M,2018-01-01,35881.9,0.0,35881.9
E009,"Flores, Valeria",2018-02-01,2018,2,Vendedora,Ventas,F,2018-01-01,29883.11,0.0,29883.11
E010,"Medina, Roberto",2018-02-01,2018,2,Técnico,Taller,M,2018-03-01,32401.86,0.0,32401.86
E001,"Fernández, Carlos",2018-03-01,2018,3,Gerente General,Administración,M,2018-01-01,85154.51,0.0,85154.51
E002,"López, María",2018-03-01,2018,3,Jefe de Ventas,Ventas,F,2018-01-01,55886.8,0.0,55886.8
E003,"García, Juan",2018-03-01,2018,3,Vendedor Senior,Ventas,M,2018-01-01,37980.44,0.0,37980.44
E004,"Martínez, Ana",2018-03-01,2018,3,Vendedora,Ventas,F,2018-01-01,32436.99,0.0,32436.99
E005,"Rodríguez, Luis",2018-03-01,2018,3,Técnico Senior,Taller,M,2018-01-01,41859.44,0.0,41859.44
E006,"Sánchez, Pablo",2018-03-01,2018,3,Técnico,Taller,M,2018-01-01,33767.03,0.0,33767.03
E007,"Torres, Sofía",2018-03-01,2018,3,Administrativa,Administración,F,2018-01-01,33144.43,0.0,33144.43
E008,"Ramírez, Diego",2018-03-01,2018,3,Encargado Depósito,Logística,M,2018-01-01,36042.56,0.0,36042.56
E009,"Flores, Valeria",2018-03-01,2018,3,Vendedora,Ventas,F,2018-01-01,29598.69,0.0,29598.69
E010,"Medina, Roberto",2018-03-01,2018,3,Técnico,Taller,M,2018-03-01,32063.7,0.0,32063.7
E001,"Fernández, Carlos",2018-04-01,2018,4,Gerente General,Administración,M,2018-01-01,84352.63,0.0,84352.63
E002,"López, María",2018-04-01,2018,4,Jefe de Ventas,Ventas,F,2018-01-01,55449.29,0.0,55449.29
E003,"García, Juan",2018-04-01,2018,4,Vendedor Senior,Ventas,M,2018-01-01,37747.74,0.0,37747.74
E004,"Martínez, Ana",2018-04-01,2018,4,Vendedora,Ventas,F,2018-01-01,31883.55,0.0,31883.55
E005,"Rodríguez, Luis",2018-04-01,2018,4,Técnico Senior,Taller,M,2018-01-01,41569.51,0.0,41569.51
E006,"Sánchez, Pablo",2018-04-01,2018,4,Técnico,Taller,M,2018-01-01,34341.51,0.0,34341.51
E007,"Torres, Sofía",2018-04-01,2018,4,Administrativa,Administración,F,2018-01-01,33141.1,0.0,33141.1
E008,"Ramírez, Diego",2018-04-01,2018,4,Encargado Depósito,Logística,M,2018-01-01,36819.49,0.0,36819.49
E009,"Flores, Valeria",2018-04-01,2018,4,Vendedora,Ventas,F,2018-01-01,30378.07,0.0,30378.07
E010,"Medina, Roberto",2018-04-01,2018,4,Técnico,Taller,M,2018-03-01,31858.78,0.0,31858.78
E001,"Fernández, Carlos",2018-05-01,2018,5,Gerente General,Administración,M,2018-01-01,83681.84,0.0,83681.84
E002,"López, María",2018-05-01,2018,5,Jefe de Ventas,Ventas,F,2018-01-01,54654.84,0.0,54654.84
E003,"García, Juan",2018-05-01,2018,5,Vendedor Senior,Ventas,M,2018-01-01,37940.19,0.0,37940.19
E004,"Martínez, Ana",2018-05-01,2018,5,Vendedora,Ventas,F,2018-01-01,31423.29,0.0,31423.29
E005,"Rodríguez, Luis",2018-05-01,2018,5,Técnico Senior,Taller,M,2018-01-01,41643.26,0.0,41643.26
E006,"Sánchez, Pablo",2018-05-01,2018,5,Técnico,Taller,M,2018-01-01,34345.42,0.0,34345.42
E007,"Torres, Sofía",2018-05-01,2018,5,Administrativa,Administración,F,2018-01-01,32716.56,0.0,32716.56
E008,"Ramírez, Diego",2018-05-01,2018,5,Encargado Depósito,Logística,M,2018-01-01,35685.38,0.0,35685.38
E009,"Flores, Valeria",2018-05-01,2018,5,Vendedora,Ventas,F,2018-01-01,30155.52,0.0,30155.52
E010,"Medina, Roberto",2018-05-01,2018,5,Técnico,Taller,M,2018-03-01,31826.65,0.0,31826.65
E001,"Fernández, Carlos",2018-06-01,2018,6,Gerente General,Administración,M,2018-01-01,85010.22,0.0,85010.22
